company_name,high,low,last_price,prev_close,change,percent_gain
Astral Ltd,"1,905.60","1,895.00","1,897.80","1,891.35",6.45,0.34
Guj Amb Exports,343.20,340.10,340.85,339.70,1.15,0.34
Deepak Nitrite,"2,142.00","2,105.65","2,119.00","2,112.00",7,0.33
Finolex Cables,945.40,933.65,937.00,933.90,3.1,0.33
Fert and Chem,728.25,722.75,724.05,721.65,2.4,0.33
Hindalco,486.00,482.50,482.90,481.30,1.6,0.33
NLC India,151.40,150.15,150.65,150.15,0.5,0.33
Canara Bank,390.90,387.75,388.65,387.40,1.25,0.32
3M India,"32,090.00","31,580.00","31,654.70","31,558.00",96.7,0.31
Bank of Baroda,196.45,195.30,195.45,194.85,0.6,0.31
IOC,98.90,98.05,98.35,98.05,0.3,0.31
Triveni Turbine,408.80,398.15,404.50,403.25,1.25,0.31
Vinati Organics,"1,766.30","1,751.00","1,759.85","1,754.35",5.5,0.31
V-Mart Retail,"1,700.00","1,683.05","1,687.25","1,682.00",5.25,0.31
PVR INOX,"1,684.80","1,665.00","1,671.25","1,666.20",5.05,0.3
VIP Industries,611.90,605.20,605.40,603.60,1.8,0.3
MphasiS,"2,219.00","2,202.20","2,208.55","2,202.20",6.35,0.29
KSB Pumps,"3,064.00","3,038.10","3,049.90","3,041.00",8.9,0.29
Trent,"2,515.00","2,492.90","2,496.50","2,489.35",7.15,0.29
Berger Paints,584.70,579.00,580.00,578.40,1.6,0.28
Firstsource Sol,160.00,158.20,158.45,158.00,0.45,0.28
IndusInd Bank,"1,507.90","1,495.40","1,502.95","1,498.80",4.15,0.28
Polycab,"5,180.00","5,148.00","5,150.00","5,135.80",14.2,0.28
Ramco Cements,997.80,987.10,988.85,986.20,2.65,0.27
Delhivery,412.00,407.75,409.20,408.15,1.05,0.26
Gujarat Gas,421.00,417.90,418.65,417.55,1.1,0.26
COFORGE LTD.,"5,176.40","5,148.25","5,151.90","5,139.00",12.9,0.25
Navin Fluorine,"3,641.00","3,613.10","3,618.35","3,609.45",8.9,0.25
Borosil Renew,435.80,431.70,432.55,431.50,1.05,0.24
Bharti Airtel,940.00,933.00,937.70,935.50,2.2,0.24
Capri Global,766.00,761.85,764.00,762.15,1.85,0.24
HUL,"2,499.00","2,486.00","2,492.50","2,486.55",5.95,0.24
Dixon Technolog,"5,323.60","5,275.00","5,286.80","5,274.90",11.9,0.23
Escorts Kubota,"3,188.40","3,169.70","3,174.15","3,166.90",7.25,0.23
Sun Pharma,"1,187.00","1,178.55","1,182.00","1,179.35",2.65,0.22
Aster DM Health,345.75,339.00,340.05,339.35,0.7,0.21
Kalyan Jeweller,343.20,338.50,339.20,338.50,0.7,0.21
RHI Magnesita,706.65,693.45,694.55,693.10,1.45,0.21
Alkem Lab,"4,330.30","4,306.30","4,314.95","4,306.25",8.7,0.2
Bajaj Finance,"7,498.00","7,447.05","7,460.00","7,444.80",15.2,0.2
PNB,76.85,76.40,76.40,76.25,0.15,0.2
Ratnamani Metal,"3,390.00","3,324.20","3,350.40","3,343.55",6.85,0.2
Deepak Fert,624.70,616.40,617.00,615.80,1.2,0.19
Lupin,"1,188.10","1,178.75","1,182.35","1,180.15",2.2,0.19
LTIMindtree,"5,300.00","5,262.50","5,272.00","5,262.15",9.85,0.19
MRF,"108,980.00","108,390.05","108,500.00","108,295.70",204.3,0.19
RBL Bank,242.50,240.10,240.30,239.85,0.45,0.19
Patanjali Foods,"1,461.50","1,443.00","1,449.80","1,447.05",2.75,0.19
Tata Comm,"1,719.00","1,710.10","1,712.00","1,708.70",3.3,0.19
ICICI Securitie,662.00,655.50,657.50,656.35,1.15,0.18
Colgate,"2,121.60","2,108.35","2,111.00","2,107.35",3.65,0.17
Jubilant Food,512.00,507.90,508.45,507.60,0.85,0.17
Bajaj Finserv,"1,607.00","1,595.75","1,598.50","1,596.00",2.5,0.16
Bajaj Finserv,"1,607.00","1,595.75","1,598.50","1,596.00",2.5,0.16
Avenue Supermar,"3,825.00","3,798.80","3,804.00","3,798.40",5.6,0.15
UltraTechCement,"8,745.00","8,712.55","8,724.05","8,710.85",13.2,0.15
Info Edge,"4,544.00","4,510.00","4,516.95","4,510.80",6.15,0.14
HDFC Life,629.90,627.10,627.50,626.75,0.75,0.12
M&M,"1,540.00","1,525.80","1,525.95","1,524.10",1.85,0.12
Lux Industries,"1,454.05","1,434.00","1,441.65","1,440.05",1.6,0.11
Redington,156.00,154.20,154.70,154.55,0.15,0.1
Route,"1,560.00","1,552.00","1,556.70","1,555.10",1.6,0.1
Transport Corp,911.40,891.45,893.55,892.65,0.9,0.1
BPCL,388.00,383.15,384.40,384.05,0.35,0.09
Whirlpool,"1,599.00","1,579.00","1,584.05","1,582.60",1.45,0.09
BHEL,129.70,129.05,129.15,129.05,0.1,0.08
Britannia,"4,699.00","4,680.25","4,685.55","4,681.95",3.6,0.08
Endurance Techn,"1,656.40","1,631.05","1,636.80","1,635.45",1.35,0.08
Grasim,"1,949.90","1,941.75","1,944.30","1,943.00",1.3,0.07
Axis Bank,"1,033.90","1,026.25","1,029.80","1,029.20",0.6,0.06
Tata Chemicals,965.00,955.55,964.35,963.95,0.4,0.04
General Insuran,227.95,225.00,226.55,226.50,0.05,0.02
GNFC,684.90,673.50,675.70,675.55,0.15,0.02
Jindal Steel,641.00,636.00,637.05,636.90,0.15,0.02
Voltas,835.00,823.75,830.00,829.85,0.15,0.02
KEI Industries,"2,602.15","2,573.30","2,575.75","2,575.45",0.3,0.01
SRF,"2,368.00","2,342.00","2,351.40","2,351.20",0.2,0.01
