company_name,high,low,last_price,prev_close,change,percent_gain
Guj Alkali,735.45,724.00,734.85,724.05,10.8,1.49
Solar Ind,"6,223.80","6,153.40","6,195.00","6,104.55",90.45,1.48
Rattanindia Ent,62.45,60.75,61.95,61.05,0.9,1.47
Vodafone Idea,13.95,13.80,13.90,13.70,0.2,1.46
Nuvoco Vistas,352.85,346.85,348.50,343.50,5,1.46
Rail Vikas,159.05,157.55,158.45,156.20,2.25,1.44
Sundaram Fin,"3,242.00","3,184.95","3,229.65","3,183.80",45.85,1.44
JK Lakshmi Cem,794.00,778.35,788.50,777.35,11.15,1.43
Prince Pipes,735.00,717.00,722.50,712.45,10.05,1.41
Schaeffler Ind,"2,810.00","2,781.00","2,787.00","2,748.45",38.55,1.4
Adani Total Gas,549.50,544.65,546.90,539.50,7.4,1.37
NBCC (India),66.75,66.20,66.65,65.75,0.9,1.37
Ceat,"2,149.90","2,120.50","2,135.75","2,107.10",28.65,1.36
Home First,950.00,919.10,943.50,930.85,12.65,1.36
Suprajit Eng,378.00,373.00,373.00,368.00,5,1.36
Sapphire Foods,"1,329.50","1,304.85","1,317.95","1,300.40",17.55,1.35
Aarti Ind,524.50,516.00,518.00,511.15,6.85,1.34
Linde India,"6,140.00","6,072.90","6,124.40","6,043.15",81.25,1.34
CRISIL,"4,199.00","4,130.70","4,154.90","4,099.85",55.05,1.34
GSFC,183.95,182.50,183.35,180.95,2.4,1.33
Infosys,"1,388.00","1,380.05","1,387.00","1,368.85",18.15,1.33
MTAR Tech,"2,269.00","2,242.00","2,247.00","2,217.50",29.5,1.33
Delta Corp,142.40,141.50,141.95,140.10,1.85,1.32
Keystone Real,559.95,549.25,556.50,549.25,7.25,1.32
Kansai Nerolac,309.00,306.65,308.40,304.40,4,1.31
Cera Sanitary,"8,750.95","8,621.30","8,720.00","8,607.10",112.9,1.31
Avanti Feeds,401.80,397.05,401.00,395.85,5.15,1.3
CCL Products,634.75,630.00,633.70,625.60,8.1,1.29
IRB Infra,35.65,35.25,35.35,34.90,0.45,1.29
IRB Infra,35.65,35.25,35.35,34.90,0.45,1.29
Jyothy Labs,423.00,416.75,419.40,414.05,5.35,1.29
Star Health,554.00,547.50,551.50,544.55,6.95,1.28
Suven Pharma,598.95,586.00,588.10,580.70,7.4,1.27
EIH,234.95,233.05,233.75,230.85,2.9,1.26
Westlife Food,833.70,821.15,828.65,818.40,10.25,1.25
Vedant Fashions,"1,357.90","1,342.05","1,349.35","1,332.70",16.65,1.25
Jubilant Pharmo,414.00,408.10,411.75,406.65,5.1,1.25
IDFC,118.80,117.85,118.50,117.05,1.45,1.24
Rainbow Child,"1,030.50","1,023.05","1,030.50","1,017.90",12.6,1.24
Supreme Ind,"4,339.95","4,261.30","4,300.00","4,247.95",52.05,1.23
Can Fin Homes,759.00,751.20,757.50,748.35,9.15,1.22
Jubilant Ing.,418.00,409.35,415.90,410.90,5,1.22
Ashok Leyland,176.35,175.00,175.90,173.80,2.1,1.21
Zee Entertain,253.50,249.35,251.95,248.95,3,1.21
NALCO,92.60,92.00,92.40,91.30,1.1,1.2
HLE Glascoat,523.90,518.00,519.40,513.25,6.15,1.2
HLE Glascoat,523.90,518.00,519.40,513.25,6.15,1.2
Indian Bank,421.90,419.25,421.00,416.05,4.95,1.19
SJVN,77.30,76.20,76.70,75.80,0.9,1.19
Devyani Int,185.75,184.40,184.90,182.75,2.15,1.18
Uflex,438.70,433.00,437.15,432.05,5.1,1.18
Sona BLW,574.00,568.05,571.90,565.25,6.65,1.18
Bank of India,104.55,103.65,104.20,103.00,1.2,1.17
Laxmi Organic,277.45,274.00,276.00,272.80,3.2,1.17
ICICI Lombard ,"1,374.40","1,349.05","1,367.95","1,352.25",15.7,1.16
GlaxoSmithKline,"1,492.60","1,479.00","1,488.75","1,471.80",16.95,1.15
Krishna Inst.,"1,905.00","1,885.00","1,890.00","1,868.60",21.4,1.15
REC,330.00,326.50,329.45,325.70,3.75,1.15
TVS Motor,"1,654.95","1,635.00","1,650.65","1,631.95",18.7,1.15
Nippon,404.70,400.50,402.00,397.45,4.55,1.14
Sterlite Techno,142.00,140.20,141.45,139.85,1.6,1.14
Birla Corp,"1,305.25","1,280.10","1,286.95","1,272.55",14.4,1.13
Birlasoft,591.55,586.00,590.00,583.40,6.6,1.13
Adani Wilmar,298.60,294.00,296.70,293.40,3.3,1.12
Sobha,839.90,830.00,832.40,823.20,9.2,1.12
Bata India,"1,593.90","1,560.75","1,580.00","1,562.65",17.35,1.11
Sunteck Realty,453.20,446.00,452.70,447.75,4.95,1.11
Hitachi Energy,"4,443.50","4,392.90","4,420.00","4,372.85",47.15,1.08
Guj State Petro,277.65,275.60,277.35,274.40,2.95,1.08
Cyient,"1,680.00","1,665.00","1,678.60","1,660.70",17.9,1.08
UCO Bank,37.70,37.35,37.40,37.00,0.4,1.08
Cochin Shipyard,"1,064.00","1,056.00","1,059.90","1,048.70",11.2,1.07
HUDCO,82.00,80.85,81.15,80.30,0.85,1.06
Suzlon Energy,38.75,38.10,38.30,37.90,0.4,1.06
SKF India,"4,750.00","4,650.00","4,664.60","4,615.90",48.7,1.06
Tejas Networks,854.90,849.80,852.40,843.45,8.95,1.06
United Spirits,"1,066.75","1,046.40","1,055.35","1,044.35",11,1.05
Chola Fin Hold,"1,155.70","1,123.00","1,150.95","1,139.00",11.95,1.05
GMR Airports,59.40,57.75,58.25,57.65,0.6,1.04
V-Guard Ind,291.55,288.80,291.00,288.00,3,1.04
Century,"1,191.00","1,181.10","1,183.40","1,171.35",12.05,1.03
IDBI Bank,63.90,63.65,63.90,63.25,0.65,1.03
